CHILD 1 offset: 53 us | pulse_to_spi: 329 us | synced: 2250832.514000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 2265838.114000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 2280843.714000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 330 us | synced: 2295849.314000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 329 us | synced: 2310854.914000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 330 us | synced: 2325860.514000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2340866.114000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2355871.714000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2370877.314000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2385882.914000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2400888.514000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2415894.114000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2430899.714000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2445905.314000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 329 us | synced: 2460910.914000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2475916.514000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2490922.114000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2505927.714000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2520933.314000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2535938.914000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2550944.514000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2565950.114000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 330 us | synced: 2580955.714000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2595961.314000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 330 us | synced: 2610966.914000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2625972.514000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 330 us | synced: 2640978.114000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2655983.714000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2670989.314000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2685994.914000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2701000.514000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 329 us | synced: 2716006.114000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 2731011.714000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 329 us | synced: 2746017.314000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 330 us | synced: 2761022.914000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2776028.514000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2791034.114000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2806039.714000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 2821045.314000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2836050.914000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 2851056.514000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2866062.114000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 2881067.714000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 329 us | synced: 2896073.314000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2911078.914000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 2926084.514000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2941090.114000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2956095.714000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2971101.314000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 2986106.914000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3001112.514000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3016118.114000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3031123.714000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3046129.314000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3061134.914000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 329 us | synced: 3076140.514000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3091146.114000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3106151.714000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3121157.314000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3136162.914000 ms
CHILD 1 offset: 55 us | pulse_to_spi: 330 us | synced: 3151168.514000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3166174.114000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3181179.714000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3196185.314000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3211190.914000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3226196.514000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 329 us | synced: 3241202.114000 ms
CHILD 1 offset: 56 us | pulse_to_spi: 330 us | synced: 3256207.714000 ms
CHILD 1 offset: 57 us | pulse_to_spi: 329 us | synced: 3271213.314000 ms
