CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2490922.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2505927.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2520933.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2535939.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2550944.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2565950.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2580955.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2595961.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2610967.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2625972.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2640978.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2655983.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2670989.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2685995.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2701000.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2716006.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2731011.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2746017.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2761023.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2776028.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2791034.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2806039.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2821045.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2836051.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2851056.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2866062.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2881067.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2896073.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2911079.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2926084.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2941090.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2956095.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2971101.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2986107.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3001112.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3016118.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3031123.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3046129.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3061135.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3076140.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3091146.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3106151.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3121157.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3136163.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3151168.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3166174.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3181179.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3196185.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3211191.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3226196.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3241202.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3256207.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3271213.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3286219.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3301224.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3316230.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3331235.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3346241.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3361247.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3376252.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3391258.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3406263.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3421269.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3436275.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3451280.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3466286.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3481291.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3496297.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3511303.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3526308.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3541314.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3556319.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3571325.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3586331.000000 ms
child: experiment complete (240 cycles)
