*** Booting Zephyr OS build zephyr-v40201 ***
child: configured CHILD_ID=1
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2475919.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005978 us | synced: 2490925.117000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005976 us | synced: 2505930.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 2520936.317000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 2535941.917000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2550947.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2565953.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2580958.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2595964.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2610969.917000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 2625975.517000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 2640981.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2655986.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 2670992.317000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005978 us | synced: 2685997.917000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005977 us | synced: 2701003.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005978 us | synced: 2716009.117000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005976 us | synced: 2731014.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005978 us | synced: 2746020.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005977 us | synced: 2761025.917000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 2776031.517000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 2791037.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2806042.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2821048.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 2836053.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 2851059.517000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 2866065.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005975 us | synced: 2881070.717000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005977 us | synced: 2896076.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2911081.917000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 2926087.517000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 2941093.117000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 2956098.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 2971104.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 2986109.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3001115.517000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3016121.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 3031126.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3046132.317000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 3061137.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 3076143.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 3091149.117000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005976 us | synced: 3106154.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 3121160.317000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3136165.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005975 us | synced: 3151171.517000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005977 us | synced: 3166177.117000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 3181182.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 3196188.317000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3211193.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3226199.517000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 3241205.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005975 us | synced: 3256210.717000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005977 us | synced: 3271216.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 3286221.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005977 us | synced: 3301227.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005975 us | synced: 3316233.117000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005976 us | synced: 3331238.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3346244.317000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3361249.917000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005977 us | synced: 3376255.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005976 us | synced: 3391261.117000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005976 us | synced: 3406266.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005975 us | synced: 3421272.317000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005975 us | synced: 3436277.917000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005976 us | synced: 3451283.517000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005975 us | synced: 3466289.117000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005975 us | synced: 3481294.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005975 us | synced: 3496300.317000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005976 us | synced: 3511305.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005974 us | synced: 3526311.517000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005975 us | synced: 3541317.117000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 15005976 us | synced: 3556322.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 15005975 us | synced: 3571328.317000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 15005976 us | synced: 3586333.917000 ms
child: experiment complete (240 cycles)
